person	id	label_affiliation
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1909instance	2.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2040instance	3.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id46instance	4.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id3instance	5.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1842instance	6.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1915instance	7.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1992instance	8.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1966instance	9.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2039instance	10.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2065instance	11.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2068instance	13.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2058instance	15.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id67instance	17.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1900instance	18.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2044instance	19.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1887instance	20.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1954instance	21.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id53instance	22.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id72instance	23.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id86instance	24.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2081instance	26.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2127instance	27.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2056instance	28.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2072instance	30.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2079instance	31.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1858instance	32.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2146instance	33.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2147instance	35.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1instance	36.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id88instance	38.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2041instance	39.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id38instance	40.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id68instance	41.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2042instance	42.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2099instance	43.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id66instance	44.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2038instance	45.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2075instance	46.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2139instance	47.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id71instance	49.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1882instance	51.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1861instance	52.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2133instance	53.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2047instance	55.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1908instance	56.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id97instance	57.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2076instance	58.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2126instance	59.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id78instance	61.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2073instance	62.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2instance	63.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2130instance	64.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id26instance	67.0	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
