id	person	label_affiliation
1	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1855instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
2	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1909instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
3	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2040instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
4	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id46instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
5	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id3instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
6	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1842instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
7	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1915instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
8	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1992instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
9	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1966instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
10	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2039instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
11	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2065instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
12	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id60instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
13	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2068instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
14	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id37instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
15	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2058instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
16	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2078instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
17	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id67instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
18	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1900instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
19	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2044instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
20	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1887instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
21	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1954instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
22	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id53instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
23	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id72instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
24	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id86instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
25	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1868instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
26	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2081instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
27	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2127instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
28	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2056instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
29	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id32instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
30	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2072instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
31	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2079instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
32	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1858instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
33	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2146instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
34	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1989instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
35	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2147instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
36	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
37	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id1876instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
38	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id88instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
39	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2041instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
40	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id38instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
41	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id68instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
42	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2042instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id1instance
43	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2099instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id3instance
44	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id66instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id4instance
45	http://www.aifb.uni-karlsruhe.de/Personen/viewPersonOWL/id2038instance	http://www.aifb.uni-karlsruhe.de/Forschungsgruppen/viewForschungsgruppeOWL/id2instance
