bond	id	label_mutagenic
http://dl-learner.org/carcinogenesis#d305	1.0	0.0
http://dl-learner.org/carcinogenesis#d74	2.0	0.0
http://dl-learner.org/carcinogenesis#d148	5.0	0.0
http://dl-learner.org/carcinogenesis#d330	7.0	1.0
http://dl-learner.org/carcinogenesis#d78	9.0	1.0
http://dl-learner.org/carcinogenesis#d120	14.0	0.0
http://dl-learner.org/carcinogenesis#d253	17.0	0.0
http://dl-learner.org/carcinogenesis#d326	18.0	0.0
http://dl-learner.org/carcinogenesis#d260	22.0	0.0
http://dl-learner.org/carcinogenesis#d23_1	26.0	0.0
http://dl-learner.org/carcinogenesis#d85_1	45.0	0.0
http://dl-learner.org/carcinogenesis#d97	46.0	0.0
http://dl-learner.org/carcinogenesis#d112	66.0	1.0
http://dl-learner.org/carcinogenesis#d163	70.0	1.0
http://dl-learner.org/carcinogenesis#d336	71.0	0.0
http://dl-learner.org/carcinogenesis#d193	73.0	1.0
http://dl-learner.org/carcinogenesis#d83	74.0	0.0
http://dl-learner.org/carcinogenesis#d103	76.0	0.0
http://dl-learner.org/carcinogenesis#d207	78.0	1.0
http://dl-learner.org/carcinogenesis#d335	92.0	0.0
http://dl-learner.org/carcinogenesis#d315	96.0	0.0
http://dl-learner.org/carcinogenesis#d123	97.0	1.0
http://dl-learner.org/carcinogenesis#d244	102.0	0.0
http://dl-learner.org/carcinogenesis#d226	110.0	0.0
http://dl-learner.org/carcinogenesis#d46	115.0	0.0
http://dl-learner.org/carcinogenesis#d107	123.0	1.0
http://dl-learner.org/carcinogenesis#d127	132.0	0.0
http://dl-learner.org/carcinogenesis#d212	134.0	0.0
http://dl-learner.org/carcinogenesis#d134	140.0	0.0
http://dl-learner.org/carcinogenesis#d52	147.0	0.0
http://dl-learner.org/carcinogenesis#d7	151.0	0.0
http://dl-learner.org/carcinogenesis#d280	154.0	0.0
http://dl-learner.org/carcinogenesis#d331	158.0	0.0
http://dl-learner.org/carcinogenesis#d252	168.0	0.0
http://dl-learner.org/carcinogenesis#d169	172.0	0.0
http://dl-learner.org/carcinogenesis#d232	176.0	0.0
http://dl-learner.org/carcinogenesis#d75	179.0	0.0
http://dl-learner.org/carcinogenesis#d15	180.0	0.0
http://dl-learner.org/carcinogenesis#d49	186.0	0.0
http://dl-learner.org/carcinogenesis#d129	188.0	0.0
http://dl-learner.org/carcinogenesis#d48	190.0	1.0
http://dl-learner.org/carcinogenesis#d179	191.0	1.0
http://dl-learner.org/carcinogenesis#d136	192.0	0.0
http://dl-learner.org/carcinogenesis#d327	195.0	0.0
http://dl-learner.org/carcinogenesis#d227	200.0	1.0
http://dl-learner.org/carcinogenesis#d108	204.0	0.0
http://dl-learner.org/carcinogenesis#d321	206.0	0.0
http://dl-learner.org/carcinogenesis#d180	210.0	1.0
http://dl-learner.org/carcinogenesis#d231	224.0	1.0
http://dl-learner.org/carcinogenesis#d54	227.0	1.0
http://dl-learner.org/carcinogenesis#d17	244.0	0.0
http://dl-learner.org/carcinogenesis#d329	245.0	1.0
http://dl-learner.org/carcinogenesis#d173	249.0	1.0
http://dl-learner.org/carcinogenesis#d11	260.0	0.0
http://dl-learner.org/carcinogenesis#d30	267.0	0.0
http://dl-learner.org/carcinogenesis#d45	268.0	0.0
http://dl-learner.org/carcinogenesis#d76	279.0	1.0
http://dl-learner.org/carcinogenesis#d131	284.0	0.0
http://dl-learner.org/carcinogenesis#d38	293.0	1.0
http://dl-learner.org/carcinogenesis#d278	295.0	0.0
http://dl-learner.org/carcinogenesis#d228	298.0	1.0
http://dl-learner.org/carcinogenesis#d285	300.0	0.0
http://dl-learner.org/carcinogenesis#d323	303.0	1.0
http://dl-learner.org/carcinogenesis#d41	307.0	1.0
http://dl-learner.org/carcinogenesis#d40	312.0	0.0
http://dl-learner.org/carcinogenesis#d61	320.0	1.0
http://dl-learner.org/carcinogenesis#d20	324.0	0.0
http://dl-learner.org/carcinogenesis#d334	326.0	1.0
